codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_ajustado,X11_RED,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes
1152255,656,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,6.0,,,,0.5,ESTABLE,0.13285495573105388,37.951669503554065,,1.0,SIN_AJUSTE,,,,
1152321,678,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,14.0,,,,-0.25,ESTABLE,0.8509806870320558,14.718879947840104,,1.0,SIN_AJUSTE,,,,
1261577,60133,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,28.571428571428573,,,,17.0,ESTABLE,0.060289173990602185,14.869356370409076,,7.0,SIN_AJUSTE,,,,
398313,60133,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,20.272727272727273,,,,-7.6,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,5.845497755369883,,11.0,SIN_AJUSTE,,,,
398347,60136,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,7.0,,,,1.75,ESTABLE,0.18848603806737496,35.355339059327385,,2.0,SIN_AJUSTE,,,,
398370,60181,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,8.0,,,,1.0,ESTABLE,0.09087393998624904,46.18802153517006,,1.0,SIN_AJUSTE,,,,
738419,601330,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,2.0,,,,1.0,ESTABLE,0.5730251193553904,38.46153846153847,,1.0,SIN_AJUSTE,,,,
738427,601331,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,10.5,,,,,,,,,14.0,SIN_AJUSTE,,,,
1147735,601331,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,15.714285714285714,,,,4.0,ESTABLE,0.4523703606773608,5.73840438552498,,7.0,SIN_AJUSTE,,,,
1153527,601391,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,7.5,,,,1.0,ESTABLE,0.34755803674116903,25.194555463432966,,2.0,SIN_AJUSTE,,,,
1153881,601444,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,12.0,,,,1.0,ESTABLE,0.18848603806737496,10.443278519239941,,2.0,SIN_AJUSTE,,,,
1153964,601448,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,15.0,,,,-1.8,ESTABLE,0.060289173990602185,8.109426827915822,,3.0,SIN_AJUSTE,,,,
1154129,601496,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,9.0,,,,-1.5,ESTABLE,0.4523703606773608,39.73597071195131,,1.0,SIN_AJUSTE,,,,
1563212,601511,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,9.0,,,,-0.2,ESTABLE,0.8509806870320558,20.327890704543545,,1.0,SIN_AJUSTE,,,,
1154368,601511,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,11.0,,,,2.6,CRECIMIENTO_SIGNIFICATIVO,0.024170547174545254,22.813230185711305,,2.0,SIN_AJUSTE,,,,
1154400,601514,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,9.333333333333334,,,,0.0,ESTABLE,1.0,16.482223522531132,,3.0,SIN_AJUSTE,,,,
1154608,601528,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,6.5,,,,-0.6666666666666666,ESTABLE,0.34755803674116903,16.492422502470642,,2.0,SIN_AJUSTE,,,,
1148402,6010102,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,15.666666666666666,,,,3.0,ESTABLE,0.060289173990602185,13.613726417638548,,3.0,SIN_AJUSTE,,,,
651398,6010178,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,7.0,,,,0.8,ESTABLE,0.5730251193553904,49.09287483493466,,1.0,SIN_AJUSTE,,,,
