CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
733600,64873-B,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
807156,64949,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1335744,EL MILAGRO,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,44,2,0.8397,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.8957,0.85,1.0,47.0,1.0
830885,64996,72,2,0.5115,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.745,0.94,0.0,3.0,1.0
1374834,846,79,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1433515,65199,72,2,0.1645,conectividad_equipamiento,calculo_directo,Muy Baja (0-0.2),0.2,0.075,0.21,0.0,5.0,0.0
1457605,501432,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1772672,501432 PAPA FRANCISCO I,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1495167,843,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1516269,909,48,2,0.5475,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.925,0.85,0.0,15.0,1.0
1516277,910,48,2,0.486,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.72,0.85,0.0,20.0,1.0
1402866,36789 NUESTRA SEÑORA DEL CARMEN,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
428920,36207,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1625904,555-B,72,1,0.288,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.94,0.0,0.0,1.0
1625938,559,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1625987,564,72,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1626001,566,72,2,0.13,conectividad_equipamiento,calculo_directo,Muy Baja (0-0.2),0.2,0.0,0.15,0.0,0.0,0.0
1741123,501455 CRISTO REY TTIKARIY,44,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1636455,501455 CRISTO REY TTIKARIY,44,2,0.5,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.7667,0.85,0.0,27.0,1.0
1378355,601678,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1273960,601580,47,2,0.5295,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.865,0.85,0.0,11.0,1.0
1263219,601571,47,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1682285,601571,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1527365,808,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1527340,809,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1527381,810,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1527373,812,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1262856,601570,47,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1457365,LOS RIT'IS DEL ALTO ANDINO,44,2,0.5102,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8008,0.85,0.0,19.0,1.0
1681212,1341,48,2,0.5505,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.9349,0.85,0.0,43.0,1.0
1236397,TECNICO MARIA TERESA DE JESUS GERHARDINGER,48,2,0.5363,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8877,0.85,0.0,106.0,1.0
1236967,NUESTRA SEÑORA DE LA ENSEÑANZA,48,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1527399,811,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
