CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,RED_NOMBRE,LATITUD,LONGITUD,ALTITUD_MSNM,REGION,INSTITUCION_TOOLTIP
1625987,564,72,Red Fe y Alegria 72,-8.52503,-74.39321,156,Ucayali,564 - Red 72 (Ucayali)
1626001,566,72,Red Fe y Alegria 72,-8.487051,-74.27648,151,Ucayali,566 - Red 72 (Ucayali)
1741123,501455 CRISTO REY TTIKARIY,44,Red Fe y Alegria 44,-13.6879,-71.28658,4112,Cusco,501455 CRISTO REY TTIKARIY - Red 44 (Cusco)
1636455,501455 CRISTO REY TTIKARIY,44,Red Fe y Alegria 44,-13.6879,-71.28658,4112,Cusco,501455 CRISTO REY TTIKARIY - Red 44 (Cusco)
1378355,601678,47,Red Fe y Alegria 47,-4.071193,-73.42664,101,Selva,601678 - Red 47 (Selva)
1273960,601580,47,Red Fe y Alegria 47,-4.153114,-73.46204,117,Selva,601580 - Red 47 (Selva)
1263219,601571,47,Red Fe y Alegria 47,-4.1562,-73.5042,111,Selva,601571 - Red 47 (Selva)
1682285,601571,47,Red Fe y Alegria 47,-4.1562,-73.5042,111,Selva,601571 - Red 47 (Selva)
1527365,808,47,Red Fe y Alegria 47,-3.95454,-73.40609,130,Selva,808 - Red 47 (Selva)
1527340,809,47,Red Fe y Alegria 47,-4.00346,-73.4695,120,Selva,809 - Red 47 (Selva)
1527381,810,47,Red Fe y Alegria 47,-4.042254,-73.4378,111,Selva,810 - Red 47 (Selva)
1527373,812,47,Red Fe y Alegria 47,-4.154128,-73.47423,103,Selva,812 - Red 47 (Selva)
1262856,601570,47,Red Fe y Alegria 47,-4.049994,-73.42636,103,Selva,601570 - Red 47 (Selva)
1457365,LOS RIT'IS DEL ALTO ANDINO,44,Red Fe y Alegria 44,-13.54842,-71.39277,3758,Cusco,LOS RIT'IS DEL ALTO ANDINO - Red 44 (Cusco)
1681212,1341,48,Red Fe y Alegria 48,-4.975972,-80.22906,92,Piura,1341 - Red 48 (Piura)
1236397,TECNICO MARIA TERESA DE JESUS GERHARDINGER,48,Red Fe y Alegria 48,-4.845849,-80.22507,143,Piura,TECNICO MARIA TERESA DE JESUS GERHARDINGER - Red 48 (Piura)
1527399,811,47,Red Fe y Alegria 47,-3.90632,-73.41372,105,Selva,811 - Red 47 (Selva)
1715416,1416,48,Red Fe y Alegria 48,-4.83171,-80.20365,154,Piura,1416 - Red 48 (Piura)
1715424,1417,48,Red Fe y Alegria 48,-4.88962,-80.21244,122,Piura,1417 - Red 48 (Piura)
1715440,1419,48,Red Fe y Alegria 48,-4.94572,-80.25832,80,Piura,1419 - Red 48 (Piura)
1745710,1558,48,Red Fe y Alegria 48,-4.91999,-80.19511,123,Piura,1558 - Red 48 (Piura)
1745728,1559,48,Red Fe y Alegria 48,-4.913557,-80.24119,105,Piura,1559 - Red 48 (Piura)
1785138,36831,79,Red Fe y Alegria 79,-12.8222,-74.3815,2237,Ayacucho,36831 - Red 79 (Ayacucho)
1151695,573,47,Red Fe y Alegria 47,-4.15333,-73.46156,108,Selva,573 - Red 47 (Selva)
1678879,693,54,Red Fe y Alegria 54,-9.204821,-77.97816,2793,Áncash,693 - Red 54 (Áncash)
3040177,87009-01 HUANCHUY,54,Red Fe y Alegria 54,-8.8,-77.8,3500,Áncash,87009-01 HUANCHUY - Red 54 (Áncash)
1678861,692 - CAJAY,54,Red Fe y Alegria 54,-8.8,-77.8,3500,Áncash,692 - CAJAY - Red 54 (Áncash)
